NAME,P1_001N,state,place
"Cranston city, Rhode Island",82934,44,19180
"Pawtucket city, Rhode Island",75604,44,54640
"Providence city, Rhode Island",190934,44,59000
"Warwick city, Rhode Island",82823,44,74300
