NAME,P1_001N,state,county
"Newport County, Rhode Island",85643,44,005
"Bristol County, Rhode Island",50793,44,001
"Kent County, Rhode Island",170363,44,003
"Providence County, Rhode Island",660741,44,007
"Washington County, Rhode Island",129839,44,009
