"date_time","open","high","low","close","volume"
"2022-07-20 19:50:00","128.7999","128.7999","128.7999","128.7999","500"
"2022-07-20 19:40:00","128.8100","128.8100","128.8100","128.8100","1000"
"2022-07-20 19:31:00","128.6000","128.6000","128.6000","128.6000","185"
"2022-07-20 19:11:00","128.8100","128.8100","128.8100","128.8100","301"
"2022-07-20 18:54:00","128.6000","128.6000","128.6000","128.6000","110"
"2022-07-20 18:51:00","128.6000","128.6000","128.6000","128.6000","524"
"2022-07-20 18:49:00","128.5900","128.5900","128.5900","128.5900","165"
"2022-07-20 18:48:00","128.6000","128.6000","128.6000","128.6000","1050"
"2022-07-20 18:47:00","128.6000","128.6000","128.6000","128.6000","1100"
"2022-07-20 18:46:00","128.6000","128.6000","128.6000","128.6000","418"
"2022-07-20 18:45:00","128.6000","128.6000","128.6000","128.6000","322"
"2022-07-20 18:44:00","128.6500","128.6500","128.6500","128.6500","135"
"2022-07-20 18:42:00","128.6500","128.6500","128.6500","128.6500","211"
"2022-07-20 18:41:00","128.6500","128.6500","128.6500","128.6500","195"
"2022-07-20 18:40:00","128.7500","128.7500","128.6500","128.6500","967"
"2022-07-20 18:32:00","128.9500","128.9500","128.9500","128.9500","110"
"2022-07-20 17:59:00","128.8300","128.8300","128.8300","128.8300","4207"
"2022-07-20 17:46:00","128.9400","128.9400","128.9400","128.9400","200"
"2022-07-20 17:36:00","128.9200","128.9200","128.9200","128.9200","150"
"2022-07-20 17:25:00","128.8000","128.8000","128.8000","128.8000","402"
"2022-07-20 17:22:00","128.8021","128.8021","128.8021","128.8021","151"
"2022-07-20 17:20:00","128.8000","128.8000","128.8000","128.8000","300"
"2022-07-20 17:17:00","128.9800","128.9800","128.9800","128.9800","100"
"2022-07-20 17:14:00","128.9100","128.9100","128.9100","128.9100","100"
"2022-07-20 17:13:00","128.9100","128.9100","128.9100","128.9100","127"
"2022-07-20 17:08:00","128.9300","128.9300","128.9300","128.9300","105"
"2022-07-20 17:04:00","128.8000","128.8000","128.8000","128.8000","523"
"2022-07-20 17:02:00","128.8000","128.8000","128.8000","128.8000","1000"
"2022-07-20 17:01:00","128.8500","128.8500","128.8500","128.8500","205"
"2022-07-20 17:00:00","128.8200","128.8300","128.8100","128.8100","361"
"2022-07-20 16:58:00","128.9000","128.9000","128.9000","128.9000","156"
"2022-07-20 16:54:00","128.8500","128.8500","128.8500","128.8500","262"
"2022-07-20 16:52:00","128.7501","128.7501","128.7501","128.7501","244"
"2022-07-20 16:44:00","128.8000","128.8000","128.7500","128.7500","1514"
"2022-07-20 16:42:00","128.7500","128.7500","128.7500","128.7500","922"
"2022-07-20 16:39:00","128.7507","128.7507","128.7507","128.7507","568"
"2022-07-20 16:37:00","129.0000","129.0000","128.7500","128.7500","1102"
"2022-07-20 16:35:00","128.8000","128.8000","128.8000","128.8000","300"
"2022-07-20 16:31:00","128.8342","128.8342","128.8342","128.8342","260"
"2022-07-20 16:30:00","128.8000","128.8000","128.8000","128.8000","4044"
"2022-07-20 16:29:00","128.8100","128.8100","128.8000","128.8000","1110"
"2022-07-20 16:28:00","128.9500","128.9500","128.9500","128.9500","389"
"2022-07-20 16:27:00","128.9600","128.9600","128.9500","128.9500","722"
"2022-07-20 16:25:00","129.0000","129.0000","129.0000","129.0000","392"
"2022-07-20 16:24:00","129.0400","129.0400","129.0400","129.0400","1000"
"2022-07-20 16:21:00","129.0000","129.0001","129.0000","129.0001","1042"
"2022-07-20 16:20:00","129.0200","129.0200","129.0000","129.0000","974"
"2022-07-20 16:17:00","129.1800","129.1800","129.1800","129.1800","2283"
"2022-07-20 16:16:00","129.1800","129.1800","129.1000","129.1000","5273"
"2022-07-20 16:13:00","129.1800","129.1800","129.1800","129.1800","3002"
"2022-07-20 16:12:00","129.0890","129.0890","129.0890","129.0890","261"
"2022-07-20 16:08:00","129.1900","129.1900","129.0507","129.0507","1920"
"2022-07-20 16:07:00","129.1800","129.1900","129.1800","129.1900","5146"
"2022-07-20 16:06:00","129.1000","129.1000","129.1000","129.1000","223"
"2022-07-20 16:03:00","129.1800","129.1800","129.1800","129.1800","52673"
"2022-07-20 16:02:00","129.1800","129.1800","129.1800","129.1800","1367"
"2022-07-20 16:01:00","129.1800","129.1800","129.1800","129.1800","18258"
"2022-07-20 16:00:00","129.2000","129.3500","129.1300","129.1600","202740"
"2022-07-20 15:59:00","129.2400","129.2400","129.1900","129.2000","63195"
"2022-07-20 15:58:00","129.2750","129.2750","129.2100","129.2400","57831"
"2022-07-20 15:57:00","129.3600","129.3800","129.2650","129.2750","71497"
"2022-07-20 15:56:00","129.1900","129.3605","129.1900","129.3500","80240"
"2022-07-20 15:55:00","129.1800","129.2100","129.1400","129.2000","56264"
"2022-07-20 15:54:00","129.0900","129.1900","129.0600","129.1900","39042"
"2022-07-20 15:53:00","129.1499","129.1499","129.0176","129.0800","46710"
"2022-07-20 15:52:00","129.1299","129.1800","129.0900","129.1500","33304"
"2022-07-20 15:51:00","129.1600","129.2500","129.1028","129.1200","44691"
"2022-07-20 15:50:00","129.2650","129.2800","129.1400","129.1421","23459"
"2022-07-20 15:49:00","129.2650","129.3300","129.2500","129.2600","39094"
"2022-07-20 15:48:00","129.2700","129.2800","129.1800","129.2700","26579"
"2022-07-20 15:47:00","129.2400","129.3000","129.2200","129.2700","27615"
"2022-07-20 15:46:00","129.3300","129.3400","129.2300","129.2400","32026"
"2022-07-20 15:45:00","129.3300","129.3700","129.3100","129.3174","24043"
"2022-07-20 15:44:00","129.3300","129.3700","129.2700","129.3300","48722"
"2022-07-20 15:43:00","129.2300","129.3300","129.2224","129.3300","38545"
"2022-07-20 15:42:00","129.1150","129.2600","129.1100","129.2300","39365"
"2022-07-20 15:41:00","129.0500","129.1211","129.0117","129.1200","21374"
"2022-07-20 15:40:00","129.0658","129.0909","129.0300","129.0301","17713"
"2022-07-20 15:39:00","129.1000","129.1100","129.0600","129.0700","24937"
"2022-07-20 15:38:00","129.0719","129.1100","129.0400","129.1000","33699"
"2022-07-20 15:37:00","128.9700","129.0950","128.9600","129.0800","39857"
